Name,Start,End,Cal
audioTest1,2023-09-28T21:12:01-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:12:34-05:00,0.00
audioTest2,2023-09-28T21:12:34-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:12:47-05:00,0.00
audioTest1,2023-09-28T21:12:47-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:13:11-05:00,0.00
audioTest2,2023-09-28T21:13:11-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:13:24-05:00,0.00
audioTest1,2023-09-28T21:13:24-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:13:48-05:00,0.00
audioTest2,2023-09-28T21:13:48-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:14:01-05:00,0.00
audioTest1,2023-09-28T21:14:01-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:14:25-05:00,0.00
audioTest2,2023-09-28T21:14:25-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:14:38-05:00,0.00
audioTest1,2023-09-28T21:14:38-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:15:02-05:00,0.00
audioTest2,2023-09-28T21:15:02-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:15:16-05:00,0.00
audioTest1,2023-09-28T21:15:16-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:15:40-05:00,0.00
audioTest2,2023-09-28T21:15:40-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:15:53-05:00,0.00
audioTest1,2023-09-28T21:15:53-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:16:17-05:00,0.00
audioTest2,2023-09-28T21:16:17-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:16:29-05:00,0.00
audioTest1,2023-09-28T21:16:29-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:16:52-05:00,0.00
audioTest2,2023-09-28T21:16:52-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:17:05-05:00,0.00
audioTest1,2023-09-28T21:17:05-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:17:28-05:00,0.00
audioTest2,2023-09-28T21:17:28-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:17:42-05:00,0.00
audioTest1,2023-09-28T21:17:42-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:18:05-05:00,0.00
audioTest2,2023-09-28T21:18:05-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:18:18-05:00,0.00
audioTest1,2023-09-28T21:18:18-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:18:42-05:00,0.00
audioTest2,2023-09-28T21:18:42-05:00,0001-01-01T00:00:00Z,0.00
,0001-01-01T00:00:00Z,2023-09-28T21:18:54-05:00,0.00
